city,state,confirmed,deaths,estimated_population_2019
Ipaumirim,CE,1281,20,12463.0
Ipu,CE,5052,79,41964.0
Ipueiras,CE,3435,59,38166.0
Iracema,CE,2511,35,14297.0
Irauçuba,CE,1185,44,24156.0
Itaitinga,CE,4655,70,37980.0
Itaiçaba,CE,1511,22,7827.0
Itapajé,CE,3238,138,52675.0
Itapipoca,CE,10730,283,129358.0
Itapiúna,CE,2226,38,20382.0
Itarema,CE,3475,47,41826.0
Itatira,CE,2185,41,21647.0
Jaguaretama,CE,1990,43,18162.0
Jaguaribara,CE,1112,24,11401.0
Jaguaribe,CE,4515,79,34682.0
Jaguaruana,CE,3770,71,33705.0
Jardim,CE,1911,58,27174.0
Jati,CE,801,14,8111.0
Jijoca de Jericoacoara,CE,2892,31,19816.0
Juazeiro do Norte,CE,30827,642,274207.0
Jucás,CE,1900,68,24833.0
Lavras da Mangabeira,CE,3037,54,31508.0
Limoeiro do Norte,CE,7540,147,59540.0
Madalena,CE,1437,37,19691.0
Maracanaú,CE,21716,743,227886.0
Maranguape,CE,11746,267,128978.0
Marco,CE,1880,36,27361.0
Martinópole,CE,1527,27,11233.0
Massapê,CE,2574,86,38737.0
Mauriti,CE,4634,114,47962.0
Meruoca,CE,1737,33,15057.0
Milagres,CE,3205,64,27512.0
Milhã,CE,1554,31,13155.0
Miraíma,CE,1389,19,13818.0
Missão Velha,CE,2320,56,35393.0
Mombaça,CE,4161,111,43797.0
Monsenhor Tabosa,CE,1978,41,17234.0
Morada Nova,CE,9266,168,61890.0
Moraújo,CE,1926,23,8724.0
Morrinhos,CE,1454,33,22534.0
Mucambo,CE,1909,30,14537.0
Mulungu,CE,1262,20,10823.0
Nova Olinda,CE,1358,20,15565.0
Nova Russas,CE,3931,68,32328.0
Novo Oriente,CE,1720,40,28607.0
Ocara,CE,2190,43,25703.0
Orós,CE,4055,88,21427.0
Pacajus,CE,5620,122,72203.0
Pacatuba,CE,6255,239,83432.0
Pacoti,CE,1452,26,12261.0
